id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,population_unconstrained_mean,population_unconstrained_sd,population_unconstrained_sum
222830,ET2023A3010220,222696,Ethiopia,Tigray,Central Tigray,Enticho town,15.842520910959978,6.299986913556371,7414.299786329269
222844,ET2023A3010312,222697,Ethiopia,Tigray,East Tigray,Hawzen town,18.22519773184651,14.223376991887797,9021.472877264023
223011,ET2023A3030427,222711,Ethiopia,Amhara,South Wollo,Degolo town,10.839243012732203,3.882823311773308,4931.855570793152
223617,ET2023A3060208,222755,Ethiopia,Benishangul Gumuz,Metekel,Gilgel Beles town,4.551557202023256,3.037380971323144,2198.4021285772324
222966,ET2023A3030299,222709,Ethiopia,Amhara,South Gondar,Adisezemen town,43.075230109554596,19.891065961307035,18737.72509765625
222862,ET2023A3010412,222698,Ethiopia,Tigray,South Tigray,Mekhoni town,17.507619627555552,6.489429841033088,8158.550746440887
223117,ET2023A3031006,222717,Ethiopia,Amhara,Oromia,Kemisie town,54.40115897650105,17.082656645763734,24099.713426589966
223120,ET2023A3031099,222717,Ethiopia,Amhara,Oromia,Bati town,12.554930575981668,3.9202029359550594,5448.839869976044
223041,ET2023A3030525,222712,Ethiopia,Amhara,North Shewa (AM),Debre Sina town,16.792919770161447,7.078262814874216,9891.029744625092
223627,ET2023A3060311,222756,Ethiopia,Benishangul Gumuz,Asosa,Bambasi town,8.873450650825157,4.569635555630271,4924.765111207962
223010,ET2023A3030426,222711,Ethiopia,Amhara,South Wollo,Wegel tena town,16.29924075949283,7.32497782189458,10676.002697467804
223808,ET2023A3180618,222775,Ethiopia,South Ethiopia,Wolayita,Gununo Hamus town,18.58748261805843,7.181257948537171,10111.590544223785
223870,ET2023A3182509,222785,Ethiopia,South Ethiopia,South Omo (Pas),Turmi town,1.5542913738250732,0.7565287569760454,971.4321086406708
222962,ET2023A3030217,222709,Ethiopia,Amhara,South Gondar,Wegeda town,4.0975978259656145,1.0580159529327469,2339.7283586263657
223761,ET2023A3171711,222771,Ethiopia,South West Ethiopia,Dawro,Tercha town,32.401368971612,16.374469489482948,19181.610431194305
223821,ET2023A3181010,222776,Ethiopia,South Ethiopia,Gamo,Chencha town,16.829700253826523,6.852625342923152,9727.566746711731
223704,ET2023A3160021,222767,Ethiopia,Sidama,Sidama,Aleta Wondo town,53.9604537385409,27.150971976279934,32915.87678050995
223472,ET2023A3041902,222740,Ethiopia,Oromia,Horo Guduru,Shambu town,37.00083105441547,23.175371507142238,22311.50112581253
222943,ET2023A3030106,222708,Ethiopia,Amhara,North Gondar,Dabat town,28.47606961576032,12.718283228706271,16174.407541751862
222878,ET2023A3010605,222700,Ethiopia,Tigray,Southeast Tigray,Hagere Selam town,15.122022903765352,10.70533442653086,9466.38633775711
