index,id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,values,count
812.0,223608.0,ET2023A3051187,222754.0,Ethiopia,Somali,Daawa,Mubarek,11,7258
812.0,223608.0,ET2023A3051187,222754.0,Ethiopia,Somali,Daawa,Mubarek,255,46742302
696.0,223492.0,ET2023A3042202,222742.0,Ethiopia,Oromia,East Borena,Meda Welabu,1,4005
696.0,223492.0,ET2023A3042202,222742.0,Ethiopia,Oromia,East Borena,Meda Welabu,2,34662
696.0,223492.0,ET2023A3042202,222742.0,Ethiopia,Oromia,East Borena,Meda Welabu,3,45727
696.0,223492.0,ET2023A3042202,222742.0,Ethiopia,Oromia,East Borena,Meda Welabu,5,447
696.0,223492.0,ET2023A3042202,222742.0,Ethiopia,Oromia,East Borena,Meda Welabu,11,67766
696.0,223492.0,ET2023A3042202,222742.0,Ethiopia,Oromia,East Borena,Meda Welabu,12,1451
696.0,223492.0,ET2023A3042202,222742.0,Ethiopia,Oromia,East Borena,Meda Welabu,13,1525
696.0,223492.0,ET2023A3042202,222742.0,Ethiopia,Oromia,East Borena,Meda Welabu,21,38
696.0,223492.0,ET2023A3042202,222742.0,Ethiopia,Oromia,East Borena,Meda Welabu,255,79159557
816.0,223612.0,ET2023A3060203,222755.0,Ethiopia,Benishangul Gumuz,Metekel,Wenbera,1,753
816.0,223612.0,ET2023A3060203,222755.0,Ethiopia,Benishangul Gumuz,Metekel,Wenbera,2,3725
816.0,223612.0,ET2023A3060203,222755.0,Ethiopia,Benishangul Gumuz,Metekel,Wenbera,3,46937
816.0,223612.0,ET2023A3060203,222755.0,Ethiopia,Benishangul Gumuz,Metekel,Wenbera,5,464
816.0,223612.0,ET2023A3060203,222755.0,Ethiopia,Benishangul Gumuz,Metekel,Wenbera,11,40369
816.0,223612.0,ET2023A3060203,222755.0,Ethiopia,Benishangul Gumuz,Metekel,Wenbera,12,2472
816.0,223612.0,ET2023A3060203,222755.0,Ethiopia,Benishangul Gumuz,Metekel,Wenbera,13,1894
816.0,223612.0,ET2023A3060203,222755.0,Ethiopia,Benishangul Gumuz,Metekel,Wenbera,255,36951588
113.0,222909.0,ET2023A3020208,222703.0,Ethiopia,Afar,Kilbati,Bidu,1,6101
113.0,222909.0,ET2023A3020208,222703.0,Ethiopia,Afar,Kilbati,Bidu,2,193
113.0,222909.0,ET2023A3020208,222703.0,Ethiopia,Afar,Kilbati,Bidu,11,5251
113.0,222909.0,ET2023A3020208,222703.0,Ethiopia,Afar,Kilbati,Bidu,255,111756610
747.0,223543.0,ET2023A3050392,222746.0,Ethiopia,Somali,Jarar,Daror,1,32683
747.0,223543.0,ET2023A3050392,222746.0,Ethiopia,Somali,Jarar,Daror,2,1741
747.0,223543.0,ET2023A3050392,222746.0,Ethiopia,Somali,Jarar,Daror,3,148
747.0,223543.0,ET2023A3050392,222746.0,Ethiopia,Somali,Jarar,Daror,11,27555
747.0,223543.0,ET2023A3050392,222746.0,Ethiopia,Somali,Jarar,Daror,255,58506994
789.0,223585.0,ET2023A3050804,222751.0,Ethiopia,Somali,Afder,Elkare /Serer,1,10289
789.0,223585.0,ET2023A3050804,222751.0,Ethiopia,Somali,Afder,Elkare /Serer,2,14915
