id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,topo_diversity_mean,topo_diversity_sd,topo_diversity_sum
222799,ET2023A3010105,222695,Ethiopia,Tigray,Northwest Tigray,Asgede,0.38743677114936353,0.15530107100526688,8847.506105966866
222875,ET2023A3010602,222700,Ethiopia,Tigray,Southeast Tigray,Enderta,0.48577269685127766,0.20073612323096168,11086.79026023671
223523,ET2023A3050204,222745,Ethiopia,Somali,Fafan,Shabeeley,0.28501233929014236,0.1489875936106159,6435.578621171415
222946,ET2023A3030201,222709,Ethiopia,Amhara,South Gondar,Ebenat,0.6069286973283825,0.16356298219309334,13844.043586060405
223854,ET2023A3182102,222781,Ethiopia,South Ethiopia,Amaro,Amaro,0.5107146170459885,0.3078017289422219,11494.143171237018
223592,ET2023A3050899,222751,Ethiopia,Somali,Afder,God-God,0.020811910349481797,0.007885870969694373,471.41058132611215
223451,ET2023A3041709,222738,Ethiopia,Oromia,West Arsi,Nenesebo,0.591394418058203,0.16916095817673316,13461.911138258874
223858,ET2023A3182402,222784,Ethiopia,South Ethiopia,South Omo (Agr),South Ari,0.524647010851578,0.29091636415946454,11927.325144699775
223089,ET2023A3030803,222715,Ethiopia,Amhara,Wag Himra,Dehana,0.7738074811839528,0.10696322420895218,17980.190632790327
223449,ET2023A3041707,222738,Ethiopia,Oromia,West Arsi,Dodola,0.3853031156754469,0.22924335638614127,8831.147411281243
223649,ET2023A3120308,222761,Ethiopia,Gambela,Majang,Mengesh,0.40146100629987885,0.2194018394516997,9349.625375717878
223218,ET2023A3040401,222725,Ethiopia,Oromia,Jimma,Limu Seka,0.4160304810475369,0.1682404197434183,9740.93768324703
223633,ET2023A3060405,222757,Ethiopia,Benishangul Gumuz,Kemashi,Mizyiga,0.3321009978170981,0.15209308559771556,7823.9674075730145
223489,ET2023A3042106,222741,Ethiopia,Oromia,East Bale,Dawe Ketchen,0.30666024545711146,0.17214871555371675,7203.449165787548
223622,ET2023A3060306,222756,Ethiopia,Benishangul Gumuz,Asosa,Bilidigilu,0.42624184389699177,0.21815096390736047,10185.901343606412
223553,ET2023A3050498,222747,Ethiopia,Somali,Erer,Yahob,0.1877137780782345,0.1290453947849321,4462.33193247579
223384,ET2023A3041210,222733,Ethiopia,Oromia,Borena,Moyale (OR),0.2153765250970008,0.18728849738771258,5088.916534991935
223210,ET2023A3040313,222724,Ethiopia,Oromia,Ilubabor,Sale Nono,0.5119064623809401,0.20611099162205235,12187.980962827802
223034,ET2023A3030518,222712,Ethiopia,Amhara,North Shewa (AM),Minjar Shenkora,0.37957391220820663,0.22651660615795555,9145.074266832322
223087,ET2023A3030801,222715,Ethiopia,Amhara,Wag Himra,Zequala,0.7631109151556615,0.13509613221772415,18662.640541046858
223555,ET2023A3050501,222748,Ethiopia,Somali,Korahe,Shaygosh,0.19445816739555805,0.12087377185792067,4687.997499572113
223312,ET2023A3040811,222729,Ethiopia,Oromia,Arsi,Seru,0.5558339736531133,0.2999014810827962,13665.734076235443
223134,ET2023A3031122,222718,Ethiopia,Amhara,Central Gondar,Kinfaz Begela,0.6315295271528503,0.17962793770442353,15935.384558647871
223632,ET2023A3060404,222757,Ethiopia,Benishangul Gumuz,Kemashi,Dembi,0.47406154124452055,0.2574097107888641,11958.20237789303
223599,ET2023A3051001,222753,Ethiopia,Somali,Nogob,Ayun,0.2908241808040368,0.2436926547537385,7283.691608237103
223163,ET2023A3040101,222722,Ethiopia,Oromia,West Wellega,Mana Sibu,0.2640853776090783,0.13102062664728356,6685.849504929036
222916,ET2023A3020305,222704,Ethiopia,Afar,Gabi,Gelalu,0.10560623150995213,0.10990334895494472,2702.1466456451453
223425,ET2023A3041515,222736,Ethiopia,Oromia,West Gujii,Dugda Dawa,0.30011386099186277,0.13751496851856068,7597.6825048699975
223424,ET2023A3041513,222736,Ethiopia,Oromia,West Gujii,Abaya,0.2084870777894836,0.20151054505129742,4890.272896630127
222800,ET2023A3010106,222695,Ethiopia,Tigray,Northwest Tigray,Tselemti,0.5522681190753735,0.22670958987929982,14398.73440053314
223524,ET2023A3050205,222745,Ethiopia,Somali,Fafan,Aw-Bare,0.11363498841096269,0.11684496498799139,2943.6007397975773
223737,ET2023A3170912,222769,Ethiopia,South West Ethiopia,Keffa,Goba (SP),0.5441233635730713,0.2704644106980735,14217.943490164354
223122,ET2023A3031107,222718,Ethiopia,Amhara,Central Gondar,Tsegede (AM),0.3655952843892479,0.30165684792465813,9743.479924257845
222968,ET2023A3030302,222710,Ethiopia,Amhara,North Wollo,Raya Kobo,0.5669811157228373,0.2553523370888602,15384.465594023466
223375,ET2023A3041111,222732,Ethiopia,Oromia,Bale,Harena Buluk,0.43929912977531926,0.19622690037423465,11757.401909306645
223133,ET2023A3031121,222718,Ethiopia,Amhara,Central Gondar,Takusa,0.5570734792075827,0.22875757953277764,15328.433853875846
223620,ET2023A3060304,222756,Ethiopia,Benishangul Gumuz,Asosa,Sherkole,0.20047088458500611,0.12737997866103423,5498.314951512963
223128,ET2023A3031115,222718,Ethiopia,Amhara,Central Gondar,Alfa,0.5455152539956388,0.2316837555364431,15058.94858654961
223626,ET2023A3060310,222756,Ethiopia,Benishangul Gumuz,Asosa,Abrahmo,0.3732696728335402,0.2630948836998227,10516.49976241216
223364,ET2023A3041017,222731,Ethiopia,Oromia,East Hararge,Golo Oda,0.34454097179087023,0.2846456437905482,9853.871793218888
223564,ET2023A3050598,222748,Ethiopia,Somali,Korahe,El-Ogaden,0.08736209280720558,0.0678657090668727,2490.605903840624
223575,ET2023A3050698,222749,Ethiopia,Somali,Shebelle,Elale,0.10864526017079172,0.09665668132700463,3097.6936579896137
222892,ET2023A3020104,222702,Ethiopia,Afar,Awusi,Afambo,0.18580870257588736,0.19686058508549042,5384.178774541488
222937,ET2023A3020613,222707,Ethiopia,Afar,Mahi,Yangudi,0.14679103473296135,0.10799931986761199,4308.7572425166145
222934,ET2023A3020610,222707,Ethiopia,Afar,Mahi,Gerani,0.19256904960618484,0.1825113953794828,5667.8848370588385
223576,ET2023A3050699,222749,Ethiopia,Somali,Shebelle,Aba-Korow,0.15975439147163864,0.17386223673834186,4651.089353305288
222918,ET2023A3020307,222704,Ethiopia,Afar,Gabi,Hanruka,0.10323386659259547,0.109429009330473,3040.650306618307
223467,ET2023A3041809,222739,Ethiopia,Oromia,Kelem,Gidami,0.3684380668291993,0.25900894718069906,10862.659524325281
223603,ET2023A3051006,222753,Ethiopia,Somali,Nogob,Dihun,0.15086177346182847,0.1437149153822226,4433.827522043139
223568,ET2023A3050603,222749,Ethiopia,Somali,Shebelle,Danan,0.060804664707944746,0.04073236888235684,1786.137025795877
223609,ET2023A3051198,222754,Ethiopia,Somali,Daawa,Qada Duma,0.14952895948724315,0.15214259884502518,4431.7393012829125
