id,location_name,address,longitude,latitude,status
105,"Ministry of Revenue, North Wollo - Lalibela Fayda Registration Centers  (Coming Soon)",https://goo.gl/maps/CfWVEPT2SM97DUwV9,12.031,39.047,0
106,"Ministry of Revenue, North Wollo - Mersa Zone Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/8zp86Y9q8HbNWyco7,11.666,39.659,0
107,"Ministry of Revenue, North Wollo - Kobo Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/ms1qALgce8eZc5GW6,12.154,39.636,0
108,"Ministry of Revenue, South Wollo - Hayik Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/S3jpfCjGiJof9i3XA,11.311,39.68,0
109,"Ministry of Revenue, Adola Wayu City Fayda Registration Centers (coming Soon)",https://goo.gl/maps/JBffso3DuN3xaSsx8,5.882,38.986,0
110,Commercial Bank of Ethiopia - Tewoderos Adebabay Branch,https://goo.gl/maps/Dh1rnGjJFCYtJfCLA,9.031,38.752,0
111,Grand Palace Parking | የታላቁ ቤተ-መንግስት መኪና ማቆሚያ,https://goo.gl/maps/ZY5ks7q8SHRhG4dY9,9.021,38.765,0
112,Commercial Bank of Ethiopia - Ethio-China Road Branch,https://goo.gl/maps/a4HxHgoVPZtJ9HmL7,8.985,38.767,0
113,Commercial Bank of Ethiopia - 18 Mazoria Branch,https://goo.gl/maps/5dsfndadj2fruAEF6,9.033,38.708,0
114,Commercial Bank of Ethiopia - Gofa Sefer Branch,https://goo.gl/maps/8xr4Kogh2iVnmqdV6,8.987,38.749,0
115,Commercial Bank of Ethiopia - Asko Branch / የኢትዮጵያ ንግድ ባንክ፣ አስኮ ቅርንጫፍ,https://goo.gl/maps/iXAvbWWun8AWNnez6,9.065,38.693,0
116,Commercial Bank of Ethiopia - Gezehagn Yilma Branch,https://goo.gl/maps/SqvaWPe9mz7ReVqNA,9.012,38.735,0
117,Commercial Bank of Ethiopia - Megenagna Lem Hotel Branch,https://goo.gl/maps/hHHeRwbHepX2ACQc6,9.018,38.796,0
118,Commercial Bank of Ethiopia - Tefera Degifie Branch,https://goo.gl/maps/86md32i4cXSzLSRp8,9.018,38.801,0
119,Dashen Bank Arbegnoch Branch ,https://goo.gl/maps/mfLQKLjm2NDVWD8p6,9.03,38.761,0
120,Dashen Bank Urael Branch ,https://goo.gl/maps/aUC7nfpQdZNvRUMZ9,9.031,38.755,0
121,Dashen Bank Piassa Branch ,https://goo.gl/maps/aUC7nfpQdZNvRUMZ9,9.031,38.755,0
122,Dashen Bank Balcha/west Branch ,https://goo.gl/maps/SPgWW4ruTuUkSiDG9,9.014,38.735,0
123,Dashen Bank Tana Branch ,https://goo.gl/maps/zmtkqvZdCGkrNKjWA,9.031,38.739,0
124,Cooperative Bank of Oromia Jamo Branch,https://goo.gl/maps/pCAKG1CSoUJj5Ejf7,8.961,38.715,0
125,Cooperative Bank of Oromia Haile Gebre Branch,https://goo.gl/maps/V5Bmu7KgmBq7qW4s7,8.933,38.765,0
126,Cooperative Bank of Oromia Madaro Branch,https://goo.gl/maps/n1mvtoX4ExtxtYJFA,9.02,38.799,0
127,Commercial Bank  of Ethiopia - Abakoran Yirga Haile Branch,https://goo.gl/maps/VPwfcJ8ydQz3hwwJ6,9.034,38.74,0
128,Commercial Bank Of Ethiopia - Addis Ketema Branch,https://goo.gl/maps/tzSQQR6PUJT2o8BQ6,9.034,38.725,0
