admin_0,admin_1,admin_2,admin_3,night_time_mean,night_time_sd,night_time_sum
Ethiopia,Oromia,West Hararge,Doba,3.3051030793747757e+38,5.683097324752943e+37,3.414733348517637e+43
Ethiopia,South West Ethiopia,Bench Sheko,Debub Bench,2.4085597804567152e+38,1.5474958885555107e+38,1.9139861151377333e+43
Ethiopia,Amhara,East Gojam,Dejen,3.0229336349051398e+38,1.071625750502379e+38,1.6842274746873986e+43
Ethiopia,Amhara,East Gojam,Debay Telatgen,3.3866238638194387e+38,2.3422630218209575e+37,3.684951559983293e+43
Ethiopia,Tigray,Southeast Tigray,Saharti,3.3598010983892315e+38,3.801928448149158e+37,9.300937380670909e+42
Ethiopia,Oromia,Buno Bedele,Chwaka,2.348933604364377e+38,1.5733776762747892e+38,2.613470506887893e+43
Ethiopia,Oromia,West Wellega,Nole Kaba,3.0799435466033627e+38,9.972221042777554e+37,2.3818743417657105e+43
Ethiopia,Oromia,West Arsi,Siraro,2.72579994693962e+38,1.3584662945328743e+38,1.7444574500424182e+43
Ethiopia,Oromia,West Arsi,Kokosa,2.5901543952891967e+38,1.4508405723631841e+38,2.7510806878685143e+43
Ethiopia,Oromia,Buno Bedele,Gechi,3.258683443812378e+38,6.853515194037918e+37,3.944212679887188e+43
Ethiopia,Oromia,Gujii,Aga Wayu,3.0088184816157154e+38,1.0888018552626595e+38,2.627149857222762e+43
Ethiopia,Amhara,North Gojam,Gonje,3.378252713312994e+38,2.881079888420704e+37,2.5451418116828766e+43
Ethiopia,Oromia,East Shewa,Lome (OR),2.192057923263543e+38,1.6291311187300145e+38,3.481360631989461e+43
Ethiopia,Oromia,West Shewa,Bako Tibe,3.029540866621561e+38,1.0634260156602117e+38,1.6125640124853244e+43
Ethiopia,Oromia,Arsi,Bele Gesgar,3.116939752115423e+38,9.439715639203076e+37,3.8102094917809353e+43
Ethiopia,Oromia,East Hararge,Deder,3.0401034567546294e+38,1.0500982597415535e+38,3.027730235685638e+43
Ethiopia,Oromia,North Shewa (OR),Degem,3.2071406894204313e+38,7.922008559846279e+37,3.8732638106130547e+43
Ethiopia,Oromia,West Wellega,Nejo,2.147521198048444e+38,1.641885571899476e+38,2.0498948843851617e+43
Ethiopia,Oromia,East Shewa,Adama town,1.3609568200119735e+38,1.667001001180485e+38,1.7175411164233106e+43
Ethiopia,Tigray,Central Tigray,Adet,3.321333696867517e+38,5.202448629725642e+37,2.077593867401538e+43
Ethiopia,Amhara,North Shewa (AM),Hagere Mariam,3.357269908902496e+38,3.910697991157592e+37,2.0940635329788428e+43
Ethiopia,Gambela,Nuer,Jikawo,2.3345444381905875e+38,1.5792228670164276e+38,2.9435103548926023e+43
Ethiopia,Amhara,North Shewa (AM),Menze Mama Midir,3.377254578658953e+38,2.9385820244632354e+37,4.997999050957384e+43
Ethiopia,Oromia,West Arsi,Kofele,2.6021762015369378e+38,1.4434075164048509e+38,3.049542334105168e+43
Ethiopia,Oromia,Bale,Dinsho,3.1773423908736706e+38,8.464222229849892e+37,2.5236359673753216e+43
Ethiopia,Amhara,Awi,Fagta Lakoma,3.289317521001364e+38,6.110295368385776e+37,2.138878718031137e+43
Ethiopia,Amhara,Oromia,Dewa Cheffa,3.0482881501817444e+38,1.0395796281210025e+38,2.8411874532583967e+43
Ethiopia,Gambela,Majang,Godere,2.8405294565650224e+38,1.2638088060084594e+38,4.37398928369165e+43
Ethiopia,Benishangul Gumuz,Metekel,Pawe,3.158293568556171e+38,8.788044171676656e+37,2.1812438701876338e+43
