id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,decision_rw,hweatlth_rw,education_rw
222863,ET2023A3010413,222698,Ethiopia,Tigray,South Tigray,Zata,0.1555978825754862,0.5023079128797978,0.7429274118197086
222864,ET2023A3010414,222698,Ethiopia,Tigray,South Tigray,Chercher,0.2155925308532047,0.6425223423332732,0.7661018828357272
222865,ET2023A3010501,222699,Ethiopia,Tigray,West Tigray,Kafta Humera,0.34028242179584123,0.5653518524683991,0.6255328637072287
222866,ET2023A3010502,222699,Ethiopia,Tigray,West Tigray,Welkait,0.3389517549744235,0.7070556629230855,0.6651663383682939
222867,ET2023A3010503,222699,Ethiopia,Tigray,West Tigray,Tsegede (TG),0.29869507277577256,0.651688477025871,0.6989136343740553
222868,ET2023A3010504,222699,Ethiopia,Tigray,West Tigray,Setit Humera town,0.2682674914992167,0.12800443206253787,0.3865691929062583
222869,ET2023A3010505,222699,Ethiopia,Tigray,West Tigray,May Kadra,0.3002334108837427,0.4647053994945646,0.5857669193345576
222870,ET2023A3010506,222699,Ethiopia,Tigray,West Tigray,Dansha town,0.3441431342361229,0.5591397283205514,0.6001850822963959
222871,ET2023A3010507,222699,Ethiopia,Tigray,West Tigray,Awra (TG),0.3490878535638019,0.7088927913622097,0.6580298030120995
222872,ET2023A3010508,222699,Ethiopia,Tigray,West Tigray,Korarit,0.3678837752426809,0.6895423160597577,0.5944284023679833
222873,ET2023A3010509,222699,Ethiopia,Tigray,West Tigray,May Gaba,0.36406265366865065,0.44681046377256606,0.5085890153243794
222874,ET2023A3010601,222700,Ethiopia,Tigray,Southeast Tigray,Saharti,0.26256656452354127,0.6211373222251486,0.628631594449373
222875,ET2023A3010602,222700,Ethiopia,Tigray,Southeast Tigray,Enderta,0.24797294535960396,0.4824527178658218,0.5230918318086467
222876,ET2023A3010603,222700,Ethiopia,Tigray,Southeast Tigray,Hintalo,0.23872936135430756,0.5188792902698505,0.5943975799103184
222877,ET2023A3010604,222700,Ethiopia,Tigray,Southeast Tigray,Degua Temben,0.2633498744272166,0.47442453855194217,0.4850224126066201
222878,ET2023A3010605,222700,Ethiopia,Tigray,Southeast Tigray,Hagere Selam town,0.2304755378565197,0.1140793155243131,0.29281143970931583
222879,ET2023A3010606,222700,Ethiopia,Tigray,Southeast Tigray,Samre,0.2821369600817892,0.6893542398376287,0.6755601396961594
222880,ET2023A3010607,222700,Ethiopia,Tigray,Southeast Tigray,Adigudom,0.2241817654198368,0.2531354762697786,0.4538222840522041
222881,ET2023A3010608,222700,Ethiopia,Tigray,Southeast Tigray,Wajirat,0.2589630280485989,0.5147208535030476,0.6434900425219625
222882,ET2023A3010701,222701,Ethiopia,Tigray,Mekele,Adihaki Sub City,0.17496322710267878,0.0029849830764112867,0.09506435894245671
222883,ET2023A3010702,222701,Ethiopia,Tigray,Mekele,Ayder Sub City,0.19677386676008443,0.09203292186816926,0.2268569920867432
222884,ET2023A3010703,222701,Ethiopia,Tigray,Mekele,Hadnet Sub City,0.1996640492470906,0.11570843777282146,0.22201166005673853
222885,ET2023A3010704,222701,Ethiopia,Tigray,Mekele,Hawelti Sub City,0.19819621396955017,0.04915930854966991,0.19526894174237702
222886,ET2023A3010705,222701,Ethiopia,Tigray,Mekele,Kuiha Sub City,0.20145145810447282,0.05621614994341028,0.271695710101536
222887,ET2023A3010706,222701,Ethiopia,Tigray,Mekele,Qedamay Weyane Sub City,0.1355021919366968,2.7804586333858377e-4,0.027283702555755476
222888,ET2023A3010707,222701,Ethiopia,Tigray,Mekele,Semen Sub City,0.17570595370572442,0.03109366352313884,0.1671084106032045
222889,ET2023A3020101,222702,Ethiopia,Afar,Awusi,Dubti,0.28718037394031026,0.8176767045465075,0.8582345933985274
