id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,decision_mean,decision_sd,decision_sum
223398,ET2023A3041305,222734,Ethiopia,Oromia,South West Shewa,Ilu,0.25775298799251345,0.01918795236335354,73.71735456585884
223507,ET2023A3042308,222743,Ethiopia,Oromia,Shager City,Kura Jida,0.23447412242113924,0.022101874211176147,67.76302137970924
223779,ET2023A3180502,222774,Ethiopia,South Ethiopia,Gedeo,Yirgachefe,0.31781507337216247,0.020166666461744524,92.48418635129929
223353,ET2023A3041006,222731,Ethiopia,Oromia,East Hararge,Haro Maya,0.164924918115139,0.022043449161179448,47.82822625339031
223861,ET2023A3182410,222784,Ethiopia,South Ethiopia,South Omo (Agr),Boko Dawula,0.3344548295636277,0.031526387927229886,95.65408125519753
223418,ET2023A3041490,222735,Ethiopia,Oromia,Gujii,Haro Walabu,0.429786087557821,0.043061686892067956,130.22518453001976
223827,ET2023A3181016,222776,Ethiopia,South Ethiopia,Gamo,Gacho Baba,0.2618710997147358,0.03188811363305569,80.3944276124239
223904,ET2023A3192001,222789,Ethiopia,Central Ethiopia,Silltie,Alicho Woriro,0.3044054882426092,0.04255887796269496,94.06129586696625
223747,ET2023A3171105,222770,Ethiopia,South West Ethiopia,Bench Sheko,Semen Bench,0.30325240018225763,0.016526655417796063,96.73751565814018
223800,ET2023A3180610,222775,Ethiopia,South Ethiopia,Wolayita,Kindo Daddaye,0.39985146877178895,0.03504295671696376,128.35232147574425
223715,ET2023A3160032,222767,Ethiopia,Sidama,Sidama,Bilate Zuria,0.46896243197843435,0.03479277778862808,150.06797823309898
223798,ET2023A3180608,222775,Ethiopia,South Ethiopia,Wolayita,Boloso Bombe,0.31784291792881453,0.02020874793190362,102.02757665514946
222851,ET2023A3010401,222698,Ethiopia,Tigray,South Tigray,Selewa,0.23695692266478682,0.021685904964989018,78.19578447937965
223716,ET2023A3160033,222767,Ethiopia,Sidama,Sidama,Darara,0.4366083605053984,0.030978609080017965,141.46110880374908
223923,ET2023A3192519,222791,Ethiopia,Central Ethiopia,East Gurage,Debub Sodo,0.39587465192928956,0.024058139768916513,129.45101118087769
223909,ET2023A3192006,222789,Ethiopia,Central Ethiopia,Silltie,Sankura,0.4644327052950499,0.026880428646997016,153.72722545266151
222863,ET2023A3010413,222698,Ethiopia,Tigray,South Tigray,Zata,0.16099429685478747,0.023481398897263972,54.25507804006338
223859,ET2023A3182403,222784,Ethiopia,South Ethiopia,South Omo (Agr),North Ari,0.3084941712012769,0.05803952147242273,101.49458232522011
223838,ET2023A3181304,222778,Ethiopia,South Ethiopia,Konso,Kena,0.36723423013208845,0.03326650586414085,120.82006171345711
223819,ET2023A3181008,222776,Ethiopia,South Ethiopia,Gamo,Dita,0.2985698711127043,0.038441164898947194,100.31947669386864
