id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,education_mean,education_sd,education_sum
222827,ET2023A3010217,222696,Ethiopia,Tigray,Central Tigray,Hahayle,0.48402863801742085,0.04375642552111605,118.58701631426811
223431,ET2023A3041596,222736,Ethiopia,Oromia,West Gujii,Birbirsa Kojowa,0.6793551647014697,0.055041967446384565,162.36588436365128
223915,ET2023A3192012,222789,Ethiopia,Central Ethiopia,Silltie,Mito,0.5298852123725364,0.0733603501694715,126.64256575703621
223158,ET2023A3031412,222721,Ethiopia,Amhara,Bahir Dar,Bahir Dar town,0.5603717113881148,0.11302651383083501,144.57590153813362
223510,ET2023A3042311,222743,Ethiopia,Oromia,Shager City,Sebeta,0.4726669199615717,0.11166260310822339,118.16672999039292
223793,ET2023A3180603,222775,Ethiopia,South Ethiopia,Wolayita,Damot Woide,0.4809806455056179,0.08697440621376014,124.57398718595505
223756,ET2023A3171706,222771,Ethiopia,South West Ethiopia,Dawro,Kache,0.6445081377689075,0.09290651449377278,163.0605588555336
223299,ET2023A3040715,222728,Ethiopia,Oromia,East Shewa,Batu town,0.5288640231126014,0.08598309294964125,135.91805393993855
223368,ET2023A3041089,222731,Ethiopia,Oromia,East Hararge,Goro Muti,0.5526251647388563,0.03534656656539516,141.4720421731472
223889,ET2023A3190207,222787,Ethiopia,Central Ethiopia,Hadiya,Duna,0.4308773021440248,0.04179757430871126,111.59722125530243
223529,ET2023A3050293,222745,Ethiopia,Somali,Fafan,Jigjiga town,0.8359072926369581,0.11221641525984384,220.67952525615692
223890,ET2023A3190208,222787,Ethiopia,Central Ethiopia,Hadiya,Analemmo,0.5416060560919538,0.05051547873539318,145.69202908873558
223899,ET2023A3190217,222787,Ethiopia,Central Ethiopia,Hadiya,Mirab Soro,0.6490265648021842,0.12507110725223944,171.34301310777664
223686,ET2023A3160003,222767,Ethiopia,Sidama,Sidama,Arbegona,0.46563247159907695,0.08434085961792785,123.85823744535446
223906,ET2023A3192003,222789,Ethiopia,Central Ethiopia,Silltie,Lanfero,0.5047154120881768,0.07428980796331577,137.28259208798409
223875,ET2023A3190109,222786,Ethiopia,Central Ethiopia,Gurage,Gumer,0.6642258581431473,0.07156289851526547,180.66943341493607
223924,ET2023A3192601,222792,Ethiopia,Central Ethiopia,Kebena,Kebena,0.6646003234512814,0.06355021275337142,188.08189153671265
223887,ET2023A3190205,222787,Ethiopia,Central Ethiopia,Hadiya,Misrak Badawacho,0.42739117562129936,0.09391128817846066,119.24213799834251
223792,ET2023A3180602,222775,Ethiopia,South Ethiopia,Wolayita,Damot Gale,0.443192561814835,0.05902274755103011,126.75307267904282
223541,ET2023A3050307,222746,Ethiopia,Somali,Jarar,Degahabur town,0.8798759854126632,0.04040735981532564,256.043911755085
223297,ET2023A3040712,222728,Ethiopia,Oromia,East Shewa,Akaki,0.5089502011992267,0.03865869931651082,148.104508548975
223354,ET2023A3041007,222731,Ethiopia,Oromia,East Hararge,Kurfa Chele,0.5767171996665168,0.10785527673836325,164.9411191046238
223398,ET2023A3041305,222734,Ethiopia,Oromia,South West Shewa,Ilu,0.6078897716698947,0.061723564901274605,173.85647469758987
223507,ET2023A3042308,222743,Ethiopia,Oromia,Shager City,Kura Jida,0.5460857361245732,0.06056522284248919,157.81877774000168
223779,ET2023A3180502,222774,Ethiopia,South Ethiopia,Gedeo,Yirgachefe,0.5465687633175211,0.03943297369185463,159.05151012539864
223353,ET2023A3041006,222731,Ethiopia,Oromia,East Hararge,Haro Maya,0.6362501254369473,0.09413264899655074,184.5125363767147
223861,ET2023A3182410,222784,Ethiopia,South Ethiopia,South Omo (Agr),Boko Dawula,0.6629925901656384,0.06443920923567704,189.6158807873726
223418,ET2023A3041490,222735,Ethiopia,Oromia,Gujii,Haro Walabu,0.7168105073494486,0.05893585913571978,217.19358372688293
