id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,hwealth_mean,hwealth_sd,hwealth_sum
222962,ET2023A3030217,222709,Ethiopia,Amhara,South Gondar,Wegeda town,0.22142234444618225,0.051264812226588796,1.5499564111232758
223761,ET2023A3171711,222771,Ethiopia,South West Ethiopia,Dawro,Tercha town,0.23466767619053522,0.060336873906321635,1.4080060571432114
223821,ET2023A3181010,222776,Ethiopia,South Ethiopia,Gamo,Chencha town,0.11353433690965176,0.056174612248498366,0.6812060214579105
223704,ET2023A3160021,222767,Ethiopia,Sidama,Sidama,Aleta Wondo town,0.13324179189900556,0.04433372578089675,0.7994507513940334
223472,ET2023A3041902,222740,Ethiopia,Oromia,Horo Guduru,Shambu town,0.05360758708169063,0.02048747799552759,0.3216455224901438
222943,ET2023A3030106,222708,Ethiopia,Amhara,North Gondar,Dabat town,0.12274690779546897,0.06931364219363885,0.7364814467728138
222878,ET2023A3010605,222700,Ethiopia,Tigray,Southeast Tigray,Hagere Selam town,0.2367256289081914,0.1408899651159863,1.6570794023573399
222982,ET2023A3030397,222710,Ethiopia,Amhara,North Wollo,Mersa town,0.19064694456756115,0.046243589341451175,0.7625877782702446
223750,ET2023A3171108,222770,Ethiopia,South West Ethiopia,Bench Sheko,Size town,0.16892738533871515,0.03663694046314902,1.182491697371006
223933,ET2023A3192710,222793,Ethiopia,Central Ethiopia,Kembata,Shinshincho town,0.13015086824695268,0.036655489559960466,0.7809052094817162
223739,ET2023A3170914,222769,Ethiopia,South West Ethiopia,Keffa,Wacha town,0.16719682812690734,0.0310641398503046,1.6719682812690735
223301,ET2023A3040799,222728,Ethiopia,Oromia,East Shewa,Metehara town,0.17062834171312197,0.08338739342253254,1.1943983919918537
223807,ET2023A3180617,222775,Ethiopia,South Ethiopia,Wolayita,Gesuba town,0.24370460212230682,0.08935248376156252,1.7059322148561478
223047,ET2023A3030598,222712,Ethiopia,Amhara,North Shewa (AM),Ataye town,0.2190576596185565,0.09372507069677963,1.752461276948452
222964,ET2023A3030293,222709,Ethiopia,Amhara,South Gondar,Woreta town,0.13410905855042593,0.06235035268638125,0.9387634098529816
222945,ET2023A3030198,222708,Ethiopia,Amhara,North Gondar,Debark town,0.18629787117242813,0.0496700406095217,1.304085098206997
222984,ET2023A3030399,222710,Ethiopia,Amhara,North Wollo,Kobo town,0.19289733717838922,0.07593671124069248,1.1573840230703354
223334,ET2023A3040905,222730,Ethiopia,Oromia,West Hararge,Chiro town,0.08838770701549947,0.05928885187777361,0.7071016561239958
223857,ET2023A3182302,222783,Ethiopia,South Ethiopia,Derashe,Gidole town,0.3417011847098668,0.04431085535671951,2.050207108259201
222887,ET2023A3010706,222701,Ethiopia,Tigray,Mekele,Qedamay Weyane Sub City,0.005998079017541761,0.014300237895619981,0.04798463214033409
223083,ET2023A3030717,222714,Ethiopia,Amhara,West Gojam,Denbecha town,0.07622421160340309,0.029102190129010542,0.6097936928272247
222895,ET2023A3020107,222702,Ethiopia,Afar,Awusi,Dubti town,0.36139581931961906,0.07061861350324766,3.2525623738765717
223847,ET2023A3181508,222779,Ethiopia,South Ethiopia,Gofa,Bulike town,0.24494975991547108,0.03581658385316461,1.9595980793237686
222981,ET2023A3030316,222710,Ethiopia,Amhara,North Wollo,Hara town,0.3313213388125102,0.04942725474953155,2.9818920493125916
223881,ET2023A3190116,222786,Ethiopia,Central Ethiopia,Gurage,Emdebir town,0.14343002066016197,0.046522825880777684,1.0040101446211338
223072,ET2023A3030694,222713,Ethiopia,Amhara,East Gojam,Mota town,0.1327743122819811,0.06865546899889763,1.0621944982558489
223104,ET2023A3030909,222716,Ethiopia,Amhara,Awi,Agew Gimija Bet town,0.1271937746140692,0.0138649113233019,1.1447439715266228
223442,ET2023A3041700,222738,Ethiopia,Oromia,West Arsi,Dodola town,0.16482351099451384,0.058641628980712464,1.4834115989506245
223439,ET2023A3041621,222737,Ethiopia,Oromia,Buno Bedele,Bedele town,0.06739705974574793,0.026909940537331034,0.7413676572032273
222960,ET2023A3030215,222709,Ethiopia,Amhara,South Gondar,Nefas Mewicha town,0.1270785770482487,0.03592459382747591,1.1437071934342384
223137,ET2023A3031127,222718,Ethiopia,Amhara,Central Gondar,Amba Giorgis town,0.21076885759830474,0.05428562592095859,2.1076885759830475
222983,ET2023A3030398,222710,Ethiopia,Amhara,North Wollo,Lalibela town,0.0216247397402185,0.024817956069780264,0.172997917921748
223428,ET2023A3041519,222736,Ethiopia,Oromia,West Gujii,Kercha town,0.3207449533722617,0.037023601299712265,3.528194487094879
223894,ET2023A3190212,222787,Ethiopia,Central Ethiopia,Hadiya,Shone town,0.16640513204038143,0.031864093956984925,1.3312410563230515
223110,ET2023A3030998,222716,Ethiopia,Amhara,Awi,Dangila town,0.072098214386238,0.026155462780117805,0.6488839294761419
223145,ET2023A3031224,222719,Ethiopia,Amhara,West Gondar,Metema Yohanes town,0.3841177001595497,0.05993599568409508,4.609412401914597
223496,ET2023A3042214,222742,Ethiopia,Oromia,East Borena,Negele town,0.20170125644654036,0.15557799345354303,1.8153113080188632
223860,ET2023A3182409,222784,Ethiopia,South Ethiopia,South Omo (Agr),Jinka town,0.22546019819047716,0.05845501182360931,2.0291417837142944
223679,ET2023A3150114,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Police Maret,0.4198479718444022,0.23504590207799153,4.6183276902884245
223658,ET2023A3130108,222763,Ethiopia,Harari,Harari,Aboker,0.3821572282097556,0.03158265189582081,4.203729510307312
223008,ET2023A3030424,222711,Ethiopia,Amhara,South Wollo,Akeseta town,0.13830623403191566,0.03320455556228117,1.659674808382988
223880,ET2023A3190114,222786,Ethiopia,Central Ethiopia,Gurage,Welkite town,0.06272426908835768,0.056599383433599514,0.6272426908835769
223668,ET2023A3140109,222764,Ethiopia,Addis Ababa,Region 14,Arada,6.807765526640984e-07,1.2320930964891801e-06,7.488542079305082e-06
223144,ET2023A3031223,222719,Ethiopia,Amhara,West Gondar,Midre Genet,0.2909917991894942,0.05227918104073556,3.7828933894634247
223045,ET2023A3030595,222712,Ethiopia,Amhara,North Shewa (AM),Shoa Robit,0.11038635706958863,0.09308383449181719,1.4350226419046521
223900,ET2023A3191401,222788,Ethiopia,Central Ethiopia,Alaba,Kulito town,0.09385872849573691,0.06051678679974795,1.126304741948843
223015,ET2023A3030498,222711,Ethiopia,Amhara,South Wollo,Mekane Selame,0.13478119360903898,0.043450951529812855,1.6173743233084679
223674,ET2023A3150109,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Addis Ketema (DD),0.01659357082511243,0.0306789999048576,0.23230999155157406
222860,ET2023A3010410,222698,Ethiopia,Tigray,South Tigray,Korem town,0.1462230977291862,0.09096883681322285,1.7546771727502346
223656,ET2023A3130106,222763,Ethiopia,Harari,Harari,Dire Teyara,0.37185786779110247,0.04652159824921943,4.834152281284332
223147,ET2023A3031292,222719,Ethiopia,Amhara,West Gondar,Gendawuha town,0.3075287685944484,0.0759158262623976,3.997873991727829
223086,ET2023A3030798,222714,Ethiopia,Amhara,West Gojam,Bure town,0.08139052840748004,0.04024411017931782,1.1394673977047205
223657,ET2023A3130107,222763,Ethiopia,Harari,Harari,Amir Nur,0.49517556173460825,0.061033986406787054,6.932457864284515
222980,ET2023A3030315,222710,Ethiopia,Amhara,North Wollo,Filakit town,0.24379777510960896,0.054595563927430896,3.6569666266441345
223678,ET2023A3150113,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Kazira,0.38249129972973606,0.21528020974665452,5.354878196216305
223276,ET2023A3040613,222727,Ethiopia,Oromia,North Shewa (OR),Fiche town,0.08397206268273294,0.04269832283033815,1.343553002923727
222861,ET2023A3010411,222698,Ethiopia,Tigray,South Tigray,Alamata town,0.1132981860511271,0.08644867497276494,1.5861746047157794
223931,ET2023A3192708,222793,Ethiopia,Central Ethiopia,Kembata,Durame town,0.10707720696726548,0.061991627772588626,1.4990808975417167
223724,ET2023A3170804,222768,Ethiopia,South West Ethiopia,Sheka,Tepi,0.12576880457345396,0.09670199012209645,2.0123008731752634
223813,ET2023A3180623,222775,Ethiopia,South Ethiopia,Wolayita,Bale Awassa town,0.3334610126912594,0.08405674727108507,5.33537620306015
223703,ET2023A3160020,222767,Ethiopia,Sidama,Sidama,Yirgalem town,0.20984594871600468,0.08326814210835538,3.1476892307400703
223736,ET2023A3170911,222769,Ethiopia,South West Ethiopia,Keffa,Bonga town,0.10443254249791305,0.049528083916136355,1.5664881374686956
223805,ET2023A3180615,222775,Ethiopia,South Ethiopia,Wolayita,Boditi town,0.12883421086839267,0.06096642810901567,1.8036789521574974
223784,ET2023A3180507,222774,Ethiopia,South Ethiopia,Gedeo,Dila town,0.09458881088842948,0.0747087822671242,1.4188321633264422
223067,ET2023A3030620,222713,Ethiopia,Amhara,East Gojam,Merto Lemariyam town,0.19359621033072472,0.05270070485444607,3.484731785953045
223647,ET2023A3120206,222760,Ethiopia,Gambela,Agniwak,Gambela town,0.18205550126731396,0.07669175899337616,3.641110025346279
223664,ET2023A3140105,222764,Ethiopia,Addis Ababa,Region 14,Lideta,4.734011869300118e-07,1.1485352144384574e-06,8.994622551670225e-06
222873,ET2023A3010509,222699,Ethiopia,Tigray,West Tigray,May Gaba,0.5206753197643492,0.06185886722195337,9.372155755758286
222802,ET2023A3010108,222695,Ethiopia,Tigray,Northwest Tigray,Shire Endaslasie town,0.10288909607379537,0.09242772541683564,1.646225537180726
223665,ET2023A3140106,222764,Ethiopia,Addis Ababa,Region 14,Kirkos,1.0938286184490703e-09,3.7360727950668615e-09,1.7501257895185124e-08
223934,ET2023A3192712,222793,Ethiopia,Central Ethiopia,Kembata,Hadero town,0.1851122122671869,0.061539604428561746,3.3320198208093643
223625,ET2023A3060309,222756,Ethiopia,Benishangul Gumuz,Asosa,Assosa town,0.1087935567054501,0.10547049346269038,1.8494904639926517
223804,ET2023A3180614,222775,Ethiopia,South Ethiopia,Wolayita,Areka town,0.18008372280746698,0.061954362125100235,2.8813395649194717
223771,ET2023A3171809,222772,Ethiopia,South West Ethiopia,West Omo,Jemu town,0.30317532859350504,0.0611638916356287,5.760331243276596
223920,ET2023A3192515,222791,Ethiopia,Central Ethiopia,East Gurage,Butajira town,0.12627383505201173,0.08287749482060912,2.2729290309362113
222885,ET2023A3010704,222701,Ethiopia,Tigray,Mekele,Hawelti Sub City,0.10886949593686879,0.10671638055911176,2.1773899187373758
223420,ET2023A3041499,222735,Ethiopia,Oromia,Gujii,Shakiso town,0.1800104304113322,0.11004049904490458,3.2401877474039793
222859,ET2023A3010409,222698,Ethiopia,Tigray,South Tigray,Maichew town,0.14714839745705066,0.09019855714647376,2.7958195516839623
222880,ET2023A3010607,222700,Ethiopia,Tigray,Southeast Tigray,Adigudom,0.3875223413894051,0.10317644065645963,7.362924486398697
223393,ET2023A3041296,222733,Ethiopia,Oromia,Borena,Yabelo town,0.35007920743603455,0.11255124074927912,6.6515049412846565
223846,ET2023A3181507,222779,Ethiopia,South Ethiopia,Gofa,Sawla town,0.3069172409318742,0.09061016863964066,6.445262059569359
223111,ET2023A3030999,222716,Ethiopia,Amhara,Awi,Chagni town,0.22348014016946158,0.06799506806865081,4.022642523050308
223464,ET2023A3041806,222739,Ethiopia,Oromia,Kelem,Denbi Dollo town,0.11289143413305283,0.037871633578517305,2.2578286826610565
223326,ET2023A3040825,222729,Ethiopia,Oromia,Arsi,Asela town,0.07339629919595991,0.06298391636240173,1.3945296847232385
222823,ET2023A3010213,222696,Ethiopia,Tigray,Central Tigray,Axum town,0.10554929510029208,0.1343005794002614,2.4276337873067177
223284,ET2023A3040621,222727,Ethiopia,Oromia,North Shewa (OR),Sheno town,0.1995289359241724,0.05797999309555968,3.990578718483448
223788,ET2023A3180511,222774,Ethiopia,South Ethiopia,Gedeo,Gedeb town,0.3360146846283566,0.07398857795016352,7.392323061823845
223659,ET2023A3130109,222763,Ethiopia,Harari,Harari,Abadir,0.07483587089282082,0.09526149449561311,1.8708967723205205
223283,ET2023A3040620,222727,Ethiopia,Oromia,North Shewa (OR),Garba Guracha,0.1818917417169913,0.061856686093180534,4.1835100594908
222840,ET2023A3010308,222697,Ethiopia,Tigray,East Tigray,Adigrat town,0.10981751473292434,0.10962489686213832,2.635620353590184
223653,ET2023A3130103,222763,Ethiopia,Harari,Harari,Jinela,0.34755662557753647,0.10551850466741848,7.646245762705803
222841,ET2023A3010309,222697,Ethiopia,Tigray,East Tigray,Wukro town,0.2068921881306854,0.1642622024041885,4.96541251513645
222821,ET2023A3010211,222696,Ethiopia,Tigray,Central Tigray,Abi Adi town,0.3434955621138215,0.20536813489408132,6.86991124227643
223671,ET2023A3150103,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Sabian,0.3247592177573571,0.2641856616010919,7.469462008419214
223455,ET2023A3041713,222738,Ethiopia,Oromia,West Arsi,Kofele town,0.2273368093256767,0.06387296388463362,5.910757042467594
223162,ET2023A3031416,222721,Ethiopia,Amhara,Bahir Dar,Zege town,0.30626870691776276,0.16105111894917704,7.962986379861832
223667,ET2023A3140108,222764,Ethiopia,Addis Ababa,Region 14,Addis Ketema (AA),0.0014823369462744057,0.0037532823126483522,0.03854076060313455
223672,ET2023A3150104,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Malka Jabti /M.Jebdu),0.4133446318656206,0.17593190953854398,10.333615796640515
223749,ET2023A3171107,222770,Ethiopia,South West Ethiopia,Bench Sheko,Mizan Aman town,0.10917076267751641,0.06269399484843297,3.1659521176479757
223500,ET2023A3042301,222743,Ethiopia,Oromia,Shager City,Burayu,0.04792220551978737,0.043644600788700284,1.4855883711134084
223803,ET2023A3180613,222775,Ethiopia,South Ethiopia,Wolayita,Sodo town,0.07949411250956473,0.057616027520236625,2.5438116003060713
223912,ET2023A3192009,222789,Ethiopia,Central Ethiopia,Silltie,Tora town,0.33099668087630435,0.1014043910204771,9.598903745412827
223404,ET2023A3041311,222734,Ethiopia,Oromia,South West Shewa,Woliso town,0.11235953927520782,0.05599030441443936,3.4831457175314426
222822,ET2023A3010212,222696,Ethiopia,Tigray,Central Tigray,Adwa town,0.22012394922057865,0.19067020215092279,7.484214273499674
223652,ET2023A3130102,222763,Ethiopia,Harari,Harari,Shenkor,0.39734189212322235,0.05315603132770478,12.714940547943115
223419,ET2023A3041492,222735,Ethiopia,Oromia,Gujii,Adola town,0.315944831160938,0.08175161216258006,10.742124259471893
223185,ET2023A3040199,222722,Ethiopia,Oromia,West Wellega,Nejo town,0.11146380699938163,0.0452812667289225,3.566841823980212
223108,ET2023A3030996,222716,Ethiopia,Amhara,Awi,Injibara town,0.14380493079079315,0.052230279381980695,4.601757785305381
223159,ET2023A3031413,222721,Ethiopia,Amhara,Bahir Dar,Deq,0.9647180959582329,0.02658147079732293,30.870979070663452
223740,ET2023A3170915,222769,Ethiopia,South West Ethiopia,Keffa,Awurada town,0.42001729011535643,0.06547538748158674,14.700605154037476
223634,ET2023A3060406,222757,Ethiopia,Benishangul Gumuz,Kemashi,Kamashi town,0.24193764387658148,0.07527489101250498,7.983942247927189
222979,ET2023A3030314,222710,Ethiopia,Amhara,North Wollo,Gashena town,0.2698226326869594,0.057055980372685375,9.713614776730537
223531,ET2023A3050296,222745,Ethiopia,Somali,Fafan,Kebribayah town,0.508569432582174,0.12832444814380098,17.79993014037609
223327,ET2023A3040826,222729,Ethiopia,Oromia,Arsi,Dera town,0.31157978913850254,0.10782139861295481,11.216872408986092
223160,ET2023A3031414,222721,Ethiopia,Amhara,Bahir Dar,Meshenti town,0.27909048253463375,0.10140871471662623,10.047257371246815
223234,ET2023A3040417,222725,Ethiopia,Oromia,Jimma,Agaro town,0.08038929416132824,0.03693757588441741,2.8136252956464887
223831,ET2023A3181021,222776,Ethiopia,South Ethiopia,Gamo,Arba Minch town,0.10921807608153813,0.11991903876297555,4.368723043261525
223184,ET2023A3040198,222722,Ethiopia,Oromia,West Wellega,Mendi town,0.16373138302346554,0.05268848612375107,6.712986703962088
