index,id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,ghs_1,ghs_11,ghs_12,ghs_13,ghs_14,ghs_15,ghs_2,ghs_21,ghs_22,ghs_23,ghs_24,ghs_25,ghs_255,ghs_3,ghs_4,ghs_5
687.0,223483.0,ET2023A3041913,222740.0,Ethiopia,Oromia,Horo Guduru,Sulula Finca'a,0.0058468629762151135,0.12566943502238082,0.013517571875803247,0.01630318863979741,0.001272587026919438,0.0,0.04285744697109333,0.0,2.3457825381003466e-05,6.450901979775953e-05,0.0013370960467171977,0.0,99.6546714881099,0.13722241402252502,8.7966845178763e-05,0.0011259756182881663
375.0,223171.0,ET2023A3040109,222722.0,Ethiopia,Oromia,West Wellega,Gudetu Kondole,3.963031782722291e-05,1.085712187194599,0.019260334464030335,0.0,0.0,0.0,0.03247044040643797,0.0,0.0,0.0,0.0,0.0,97.57122955174677,1.2804687791035145,0.0,0.010819076766831854
811.0,223607.0,ET2023A3051104,222754.0,Ethiopia,Somali,Daawa,Hudet,0.005396428851518708,0.022733663491785572,0.0,0.0,0.0,0.0,0.01970823021916475,0.0,0.0,0.0,0.0,0.0,99.9463468376015,0.0058148398360301,0.0,0.0
333.0,223129.0,ET2023A3031116,222718.0,Ethiopia,Amhara,Central Gondar,West Belesa,0.05998191576620322,0.8676233189485322,0.007187668531027341,0.010303321106327135,0.0,0.0,0.40838957820937993,0.0,0.0,0.0,0.0,0.0,98.0491083629943,0.5972638742549519,0.0001419601892822448,0.0
683.0,223479.0,ET2023A3041909,222740.0,Ethiopia,Oromia,Horo Guduru,Amuru,0.002035843998060448,0.4003540797027925,0.022337137480473754,0.012143630865623724,0.0,0.0,0.0419883895459625,0.0,0.0,0.0,0.0,0.0,99.04557490377243,0.45957213845339284,0.0,0.015993876181253832
137.0,222933.0,ET2023A3020505,222706.0,Ethiopia,Afar,Khari,Hadelela,0.09655551515647555,0.1523600841079204,0.0,0.0,0.0,0.0,0.06920673941344226,0.0,0.0,0.0,0.0,0.0,99.6662614559294,0.015616205392753917,0.0,0.0
615.0,223411.0,ET2023A3041405,222735.0,Ethiopia,Oromia,Gujii,Odo Shakiso,0.006782588148120057,0.7171509576046471,0.0,0.0,0.0,0.0,0.05388941981223833,0.0005171474834343738,0.0,0.0,0.0,0.0,98.46597481173511,0.7497710296366614,0.0,0.005914045579787967
361.0,223157.0,ET2023A3031402,222721.0,Ethiopia,Amhara,Bahir Dar,Bahirdar Zuria,0.003416779132770377,0.6933231580040157,0.005145876451475386,0.001132023793483519,0.0,0.0,0.08510541074240881,0.0001898210629316876,0.0,0.0,0.0,0.0,98.49175085978588,0.710434664004294,3.451292053303411e-05,0.009466894102211257
292.0,223088.0,ET2023A3030802,222715.0,Ethiopia,Amhara,Wag Himra,Sekota,0.03398993552160473,0.611829191128042,0.0,0.0,0.0,0.0,0.23960135452506867,0.0,0.0,0.0,0.0,0.0,98.62667099714422,0.4862211881984998,0.0,0.0016873334825709063
145.0,222941.0,ET2023A3030104,222708.0,Ethiopia,Amhara,North Gondar,Debark,0.0038635721433032256,0.33596403282751175,0.005921432674367891,0.0047216918509211,0.0,0.0,0.05648949165313874,0.0,0.0,0.0,0.0,0.0,99.24046645272509,0.35102789726834877,4.473609850140577e-05,0.0015006927588198844
566.0,223362.0,ET2023A3041015,222731.0,Ethiopia,Oromia,East Hararge,Chinaksen,0.06597853800101368,0.7722923586330389,0.044560276006143755,0.018613949012959013,0.0,0.0,0.49299307669152814,0.0,0.0,0.0,0.0,0.0,98.0866995808967,0.5103978265288008,0.0,0.008464394229804445
328.0,223124.0,ET2023A3031109,222718.0,Ethiopia,Amhara,Central Gondar,Wegera,0.007442619575411776,1.4643826262057658,0.019475484218907466,0.009227714879666631,0.0,0.0,0.27108891758054415,0.0,0.0,0.0,0.0,0.0,96.73106547521787,1.4879761080577691,0.0,0.009341054264063765
575.0,223371.0,ET2023A3041104,222732.0,Ethiopia,Oromia,Bale,Agarfa,0.04518625674359085,0.906951545826299,0.09225389890309454,0.08652722575114932,0.0,0.0,0.2777684029406054,0.0,0.0,0.0,0.0,0.0,97.5963485939821,0.9918779436358385,0.0,0.0030861322173307117
239.0,223035.0,ET2023A3030519,222712.0,Ethiopia,Amhara,North Shewa (AM),Basona Worena,0.002568900656384313,0.783816650545615,0.0011752836637707615,0.0017466666307423176,0.0,0.0,0.09812457244992015,0.0002926595684488458,0.0,0.0,0.0,0.0,98.29956893568263,0.8088274301730529,4.645389975378504e-06,0.0038742552394656726
613.0,223409.0,ET2023A3041403,222735.0,Ethiopia,Oromia,Gujii,Adola,0.0022297721052017224,0.6012392428607332,0.0,0.0,0.0,0.0,0.04561630162207861,0.00030894432782915435,0.0,0.0,0.0,0.0,98.68973352477136,0.651919544986794,2.0148543119292674e-05,0.008932520782886418
317.0,223113.0,ET2023A3031002,222717.0,Ethiopia,Amhara,Oromia,Bati,0.031801370457344595,0.5032794027520906,0.003004905004438887,0.0028880836435751724,1.947022681061914e-05,0.0,0.25439798350754966,0.0,0.0,0.0,0.0,0.0,98.85655251986596,0.3475565287207587,0.0,0.0004997358214725579
630.0,223426.0,ET2023A3041517,222736.0,Ethiopia,Oromia,West Gujii,Gelana (West Guji),0.0028603859870621204,0.37039826872811354,0.007644241943732174,0.00235780189822908,0.0,0.0,0.05861619613834241,0.0,0.0,0.0,0.0,0.0,99.15683142696777,0.40129167833675194,0.0,0.0
283.0,223079.0,ET2023A3030709,222714.0,Ethiopia,Amhara,West Gojam,Jabi Tehnan,0.006491318078859727,0.9648898355807354,0.021288797936107717,0.020787083466272182,0.0,0.0,0.08638779889871816,0.00017343216241228282,0.0,0.0,0.0,0.0,97.78907440555662,1.1014986335094104,5.5746052203948044e-05,0.009352948758662395
260.0,223056.0,ET2023A3030608,222713.0,Ethiopia,Amhara,East Gojam,Debre Elias,0.012964559276066163,0.8411316647558098,0.041406120005146485,0.046270065002512,0.0,0.0,0.08228471656388751,8.046967826523825e-05,0.0,8.94107536280425e-05,0.0,0.0,98.04117132736611,0.9346016665985655,0.0,0.0
981.0,223777.0,ET2023A3171905,222773.0,Ethiopia,South West Ethiopia,Konta,Konta Koysha,0.015936600714957273,0.10890010488554135,0.0,0.0,0.0,0.0,0.01921110582369213,0.00033454696157353045,0.0,0.0,0.0,0.0,99.75847736931735,0.0969882054961808,0.00015206680071524112,0.0
262.0,223058.0,ET2023A3030610,222713.0,Ethiopia,Amhara,East Gojam,Guzamn,0.0022571558473050805,0.6963917629076968,0.004567373224474475,0.0,0.0,0.0,0.03591449240585426,4.0816561434088256e-05,0.0,0.0,0.0,0.0,98.50136280376144,0.7580533422661738,0.0,0.0014122530256194534
469.0,223265.0,ET2023A3040601,222727.0,Ethiopia,Oromia,North Shewa (OR),Wara Jarso,0.009951882964158793,1.1138788238359691,0.06624686271663913,0.03141527234208335,0.0,0.0,0.15043469994542377,0.0,0.0,0.0,0.0,0.0,97.33908081098723,1.2652259565478297,2.1219366661319387e-05,0.02374447129401639
393.0,223189.0,ET2023A3040204,222723.0,Ethiopia,Oromia,East Wellega,Haro Limu,0.0,0.28351963789574286,0.017777853416384524,0.0,0.0,0.0,0.012180040350972034,0.0,0.0,0.0,0.0,0.0,99.36500277304481,0.3215196952920974,0.0,0.0
513.0,223309.0,ET2023A3040808,222729.0,Ethiopia,Oromia,Arsi,Sude,0.00588539966546885,1.1565928708378446,0.02317812979892483,0.022947466866667737,0.0,0.0,0.0878616078324744,0.0,0.0,0.0,0.0,0.0,97.3774812865959,1.3260532384027222,0.0,0.0
519.0,223315.0,ET2023A3040814,222729.0,Ethiopia,Oromia,Arsi,Shirka,0.01503856059833785,1.413881473032574,0.09086474633577384,0.12067653151733941,0.0,0.0,0.21488793533401823,0.00046219821986923386,0.0,0.0,0.0,0.0,96.50059456665451,1.6435939883075834,0.0,0.0
352.0,223148.0,ET2023A3031301,222720.0,Ethiopia,Amhara,North Gojam,Semen Achefer,0.02191335059678311,0.8995453158410266,0.032334048597743706,0.025928307806629525,0.0,0.0,0.1486833506546037,0.0005652124227453693,0.0,0.0,0.0,0.0,97.89991101477524,0.9628556038830224,6.49669451431459e-06,0.008257298727693844
523.0,223319.0,ET2023A3040818,222729.0,Ethiopia,Oromia,Arsi,Limu Bilbilo,0.0036317745234862586,1.4174887176432032,0.029025711681823507,0.04943486027851296,0.0,0.0,0.10682401887611248,0.0,0.0,0.0,0.0,0.0,96.7317589851882,1.653019977181062,0.0,0.008815954627599976
652.0,223448.0,ET2023A3041706,222738.0,Ethiopia,Oromia,West Arsi,Gedeb Asasa,0.002279460264035246,2.102321619105095,0.08364725263023455,0.16956279169968067,0.0,0.0,0.3334939756882154,0.0,0.0,0.0,0.0,0.0,94.7644820312047,2.5340782102929476,0.0,0.010134659115097882
296.0,223092.0,ET2023A3030806,222715.0,Ethiopia,Amhara,Wag Himra,Sahila,0.152492834248761,0.48433050182052134,0.0,0.0,0.0,0.0,0.29200781617860566,0.0,0.0,0.0,0.0,0.0,98.92186829505766,0.14486819253632294,0.0,0.004432360158116161
263.0,223059.0,ET2023A3030611,222713.0,Ethiopia,Amhara,East Gojam,Baso Liben,0.028273658523305226,1.3879436011790591,0.06698164340640167,0.0510430613957149,0.0,0.0,0.14727843762297332,0.0005048867593447361,0.00030689195175856513,0.0,0.0,0.0,96.7503508220497,1.5673169971117507,0.0,0.0
666.0,223462.0,ET2023A3041804,222739.0,Ethiopia,Oromia,Kelem,Gawo Kebe,0.0002778947602437693,0.5112589904218097,0.016446317174426708,0.007317895353085925,0.0,0.0,0.02596210744944063,0.0,0.0,0.0,0.0,0.0,98.83578937564542,0.598223208271428,0.0,0.004724210924144078
576.0,223372.0,ET2023A3041106,222732.0,Ethiopia,Oromia,Bale,Gasera,0.018096176054168644,0.6185401962733259,0.03899972533267373,0.02272454812672331,0.0,0.0,0.18528663280620475,0.0,0.0,0.0,0.0,0.0,98.50273680951896,0.6036687056795437,7.587495200909285e-06,0.009939618713191163
109.0,222905.0,ET2023A3020204,222703.0,Ethiopia,Afar,Kilbati,Megale,0.06957071457583056,0.0829470203430374,0.0,0.0,0.0,0.0,0.030477438384358096,0.0,0.0,0.0,0.0,0.0,99.81498576167532,0.002019065021465185,0.0,0.0
24.0,222820.0,ET2023A3010210,222696.0,Ethiopia,Tigray,Central Tigray,Abergele (TG),0.17365403515763864,0.8474103704906432,0.0104145268709144,0.03261715010162364,0.0,0.0,0.6684465667118099,0.0,0.0,0.0,0.0,0.0,98.0652863728376,0.1985832963289613,0.0,0.003587681500807126
667.0,223463.0,ET2023A3041805,222739.0,Ethiopia,Oromia,Kelem,Sayo,0.0007400026383560733,0.6922971349367184,0.0,0.0,0.0,0.0,0.016625392608399778,0.0,0.0,0.0,0.0,0.0,98.45929477353896,0.8279346851964643,0.0,0.003108011081095508
204.0,223000.0,ET2023A3030416,222711.0,Ethiopia,Amhara,South Wollo,Wegde,0.026052028305809893,1.245897645048143,0.04763710211793775,0.044841350878885015,0.0,0.0,0.34790703268100437,0.0,0.0,0.0,0.0,0.0,97.05792476383516,1.22679594803495,0.0,0.0029441290981086117
459.0,223255.0,ET2023A3040516,222726.0,Ethiopia,Oromia,West Shewa,Abuna Ginde Beret,0.008657532073994587,0.9938762460097318,0.040398301309955253,0.03616971378051332,0.0,0.0,0.11641797088538397,0.0,0.0,0.0,0.0,0.0,97.64985439317554,1.1546258427648761,0.0,0.0
123.0,222919.0,ET2023A3020308,222704.0,Ethiopia,Afar,Gabi,Abida,0.01267672518011171,0.01289994832971516,0.0,0.0,0.0,0.0,0.0026316834479564624,0.0,0.0,0.0,0.0,0.0,99.9715096769585,0.00014098304185481049,0.0,0.00014098304185481049
179.0,222975.0,ET2023A3030310,222710.0,Ethiopia,Amhara,North Wollo,Lasta,0.0430078227389578,0.861139490727475,0.006190054487071426,0.007319009833969069,0.0,0.0,0.3314213540137473,0.0,0.0,0.0,0.0,0.0,98.05807392384251,0.688478442367252,0.0,0.004369901989011962
968.0,223764.0,ET2023A3171802,222772.0,Ethiopia,South West Ethiopia,West Omo,Menit Goldiye,0.0,0.38714928204345966,0.0,0.0,0.0,0.0,0.0037306695928018704,0.0,0.0,0.0,0.0,0.0,99.15306160646962,0.45394482021355725,0.0,0.002113621680563517
508.0,223304.0,ET2023A3040803,222729.0,Ethiopia,Oromia,Arsi,Golocha,0.01148087905052496,1.047434636691494,0.018405350301071783,0.014684107735892422,0.0,0.0,0.15993942831988223,0.0,0.0,0.0,0.0,0.0,97.64150394864008,1.096984250052277,0.0,0.0095673992087708
225.0,223021.0,ET2023A3030505,222712.0,Ethiopia,Amhara,North Shewa (AM),Menze Gera Midir,0.010746119627099239,1.081517703740471,0.012296151952213659,0.0024638573526072527,0.0,0.0,0.18477773404013265,0.0,0.0,0.0,0.0,0.0,97.61905780938096,1.0884003099601953,0.0,0.000740313946323306
329.0,223125.0,ET2023A3031110,222718.0,Ethiopia,Amhara,Central Gondar,Gonder Zuria,0.02467972055745935,1.0277647651878141,0.02103584176464298,0.03492713515385124,0.0,0.0,0.19716725817374522,0.0,0.0,0.0,0.0,0.0,97.6166884556828,1.0666062854204112,7.956067233223518e-06,0.011122581992046477
567.0,223363.0,ET2023A3041016,222731.0,Ethiopia,Oromia,East Hararge,Girawa,0.03428503485463643,3.0534068399500494,0.04032343409367362,0.05935684200435013,0.0013539709633923604,0.0,0.6473693122325519,0.0004668865391008139,0.0,0.0,0.0,0.0,93.21232568012918,2.9104617445620167,0.0,0.040650254671044196
723.0,223519.0,ET2023A3050198,222744.0,Ethiopia,Somali,Sitti,Gota-Biki,0.063371335946179,0.05852604265451943,0.004813416362109169,0.008272063218326684,0.0,0.0,0.018687849948917222,0.0,0.0,0.0,0.0,0.0,99.84084645998728,0.0036817853630702587,2.3907697162793884e-05,0.0017771388224343454
152.0,222948.0,ET2023A3030203,222709.0,Ethiopia,Amhara,South Gondar,Fogera,0.008945584846030178,1.561554336367595,0.007137831241728246,0.01266359354766147,0.0,0.0,0.23867006735559473,8.386485793153291e-05,0.0,0.0,0.0,0.0,96.61775823457393,1.5433370255613563,0.0,0.009849461648181145
133.0,222929.0,ET2023A3020501,222706.0,Ethiopia,Afar,Khari,Telalek,0.1515546713725758,0.17164260494672345,0.0,0.0,0.0,0.0,0.05523771104649101,0.0,0.0,0.0,0.0,0.0,99.61683457529213,0.004681161953092458,4.9275388979920605e-05,0.0
