,id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,population_mean,population_sd,population_sum
113,222909,ET2023A3020208,222703,Ethiopia,Afar,Kilbati,Bidu,15.1861315,8.021431,21609.865234375
114,222910,ET2023A3020209,222703,Ethiopia,Afar,Kilbati,Abaala town,32.081856,22.464624,27173.33203125
115,222911,ET2023A3020210,222703,Ethiopia,Afar,Kilbati,Wasama,22.141596,5.7797318,22097.3125
116,222912,ET2023A3020301,222704,Ethiopia,Afar,Gabi,Amibara,19.426756,10.114282,32908.92578125
117,222913,ET2023A3020302,222704,Ethiopia,Afar,Gabi,Awash,11.723644,2.171483,21536.333984375
118,222914,ET2023A3020303,222704,Ethiopia,Afar,Gabi,Gewane,11.84226,7.4229302,10444.8740234375
119,222915,ET2023A3020304,222704,Ethiopia,Afar,Gabi,Dulecha,8.970387,4.13664,36913.14453125
120,222916,ET2023A3020305,222704,Ethiopia,Afar,Gabi,Gelalu,12.43443,5.424156,11501.84765625
121,222917,ET2023A3020306,222704,Ethiopia,Afar,Gabi,Arguba,13.752783,5.4406176,22196.9921875
122,222918,ET2023A3020307,222704,Ethiopia,Afar,Gabi,Hanruka,18.076782,7.37462,25596.72265625
123,222919,ET2023A3020308,222704,Ethiopia,Afar,Gabi,Abida,7.49459,1.5455519,2907.90087890625
124,222920,ET2023A3020309,222704,Ethiopia,Afar,Gabi,Borimodaytu,17.736385,8.463208,26161.16796875
125,222921,ET2023A3020310,222704,Ethiopia,Afar,Gabi,Werer,16.785067,4.5769353,8275.0380859375
126,222922,ET2023A3020396,222704,Ethiopia,Afar,Gabi,Awash town,26.174807,15.082231,21384.81640625
127,222923,ET2023A3020401,222705,Ethiopia,Afar,Fanti,Awra (AF),36.678745,5.672343,44234.56640625
128,222924,ET2023A3020402,222705,Ethiopia,Afar,Fanti,Euwa,38.639812,5.9089,57071.00390625
129,222925,ET2023A3020403,222705,Ethiopia,Afar,Fanti,Teru,25.929842,4.407392,89328.3046875
130,222926,ET2023A3020404,222705,Ethiopia,Afar,Fanti,Yalo,31.550936,5.02503,49345.6640625
131,222927,ET2023A3020405,222705,Ethiopia,Afar,Fanti,Gulina,37.282173,6.0477824,52605.1484375
132,222928,ET2023A3020406,222705,Ethiopia,Afar,Fanti,Mabay,27.08778,7.745525,29606.943359375
133,222929,ET2023A3020501,222706,Ethiopia,Afar,Khari,Telalek,28.944647,7.4121666,57570.90234375
134,222930,ET2023A3020502,222706,Ethiopia,Afar,Khari,Samurobi,8.385037,3.25013,46168.015625
135,222931,ET2023A3020503,222706,Ethiopia,Afar,Khari,Dawe,24.809416,10.359216,37139.6953125
136,222932,ET2023A3020504,222706,Ethiopia,Afar,Khari,Dalefage,36.895035,19.868258,66558.640625
137,222933,ET2023A3020505,222706,Ethiopia,Afar,Khari,Hadelela,17.067455,3.8689687,45587.171875
138,222934,ET2023A3020610,222707,Ethiopia,Afar,Mahi,Gerani,11.857033,6.343806,23216.0703125
139,222935,ET2023A3020611,222707,Ethiopia,Afar,Mahi,Kilalu,20.60717,12.508027,14631.0908203125
140,222936,ET2023A3020612,222707,Ethiopia,Afar,Mahi,Sibaybi,7.8618317,2.0846994,12854.0947265625
141,222937,ET2023A3020613,222707,Ethiopia,Afar,Mahi,Yangudi,9.079789,5.5016966,8689.3583984375
142,222938,ET2023A3030101,222708,Ethiopia,Amhara,North Gondar,Addi Arekay,9.2733755,7.196898,129586.1484375
143,222939,ET2023A3030102,222708,Ethiopia,Amhara,North Gondar,Beyeda,10.00392,2.592135,113394.4296875
144,222940,ET2023A3030103,222708,Ethiopia,Amhara,North Gondar,Janamora,11.33589,5.7860546,159994.75
145,222941,ET2023A3030104,222708,Ethiopia,Amhara,North Gondar,Debark,8.61737,4.142614,154707.640625
146,222942,ET2023A3030105,222708,Ethiopia,Amhara,North Gondar,Dabat,8.497664,3.7396448,163979.4375
147,222943,ET2023A3030106,222708,Ethiopia,Amhara,North Gondar,Dabat town,40.33369,24.029573,14923.46484375
148,222944,ET2023A3030119,222708,Ethiopia,Amhara,North Gondar,Telemt,10.489484,2.8856354,80464.828125
149,222945,ET2023A3030198,222708,Ethiopia,Amhara,North Gondar,Debark town,47.234524,24.783361,25081.53125
150,222946,ET2023A3030201,222709,Ethiopia,Amhara,South Gondar,Ebenat,9.307248,2.2197778,205727.421875
151,222947,ET2023A3030202,222709,Ethiopia,Amhara,South Gondar,Libokemekem,10.345238,3.714242,232560.9375
152,222948,ET2023A3030203,222709,Ethiopia,Amhara,South Gondar,Fogera,9.438353,4.2842937,275288.4375
153,222949,ET2023A3030204,222709,Ethiopia,Amhara,South Gondar,Farta,8.541756,3.5842211,184647.125
154,222950,ET2023A3030205,222709,Ethiopia,Amhara,South Gondar,Lay Gayint,10.941625,4.7616467,238965.078125
155,222951,ET2023A3030206,222709,Ethiopia,Amhara,South Gondar,Tach Gayint,9.96597,3.3365378,134201.75
156,222952,ET2023A3030207,222709,Ethiopia,Amhara,South Gondar,Semada,8.913095,2.2016718,155087.859375
157,222953,ET2023A3030208,222709,Ethiopia,Amhara,South Gondar,East Esite,7.6328263,4.3919263,182531.40625
158,222954,ET2023A3030209,222709,Ethiopia,Amhara,South Gondar,Dera (AM),9.652882,4.6006837,304220.21875
159,222955,ET2023A3030210,222709,Ethiopia,Amhara,South Gondar,Debre Tabor town,25.509918,32.17379,110024.28125
160,222956,ET2023A3030211,222709,Ethiopia,Amhara,South Gondar,Andabet/West Esite,17.792913,5.3888702,239973.03125
161,222957,ET2023A3030212,222709,Ethiopia,Amhara,South Gondar,Guna Begemider,9.500861,5.5922813,87673.9453125
162,222958,ET2023A3030213,222709,Ethiopia,Amhara,South Gondar,Mena Meketewa,9.709173,2.7074518,62196.96484375
163,222959,ET2023A3030214,222709,Ethiopia,Amhara,South Gondar,Sede Muja,10.029052,2.7668786,137568.5
164,222960,ET2023A3030215,222709,Ethiopia,Amhara,South Gondar,Nefas Mewicha town,45.601192,27.827429,24533.44140625
165,222961,ET2023A3030216,222709,Ethiopia,Amhara,South Gondar,Hamusit town,37.235954,23.65038,8936.62890625
166,222962,ET2023A3030217,222709,Ethiopia,Amhara,South Gondar,Wegeda town,18.194277,8.566618,6604.5224609375
167,222963,ET2023A3030218,222709,Ethiopia,Amhara,South Gondar,Ebenat town,25.424055,10.979601,5517.02001953125
168,222964,ET2023A3030293,222709,Ethiopia,Amhara,South Gondar,Woreta town,48.189957,25.627352,23372.12890625
169,222965,ET2023A3030298,222709,Ethiopia,Amhara,South Gondar,Mekan Eyesuse,9.43389,6.2167354,6594.2890625
170,222966,ET2023A3030299,222709,Ethiopia,Amhara,South Gondar,Adisezemen town,55.93893,30.692255,20026.13671875
171,222967,ET2023A3030301,222710,Ethiopia,Amhara,North Wollo,Bugna,10.500291,3.4362886,108321.0
172,222968,ET2023A3030302,222710,Ethiopia,Amhara,North Wollo,Raya Kobo,12.614473,7.5312333,244720.78125
173,222969,ET2023A3030303,222710,Ethiopia,Amhara,North Wollo,Gidan,10.541896,5.941824,185431.953125
174,222970,ET2023A3030304,222710,Ethiopia,Amhara,North Wollo,Meket,9.558612,4.6148424,181632.734375
175,222971,ET2023A3030305,222710,Ethiopia,Amhara,North Wollo,Wadla,10.805022,5.437909,160487.0
